timestamp,action,direction,price,contracts,cost,capital_after,predicted_return,volatility,pnl_points,gross_pnl,net_pnl,reason,consecutive_losses
2019-11-27 23:27:00,OPEN,SHORT,27028.0,1,185.1399999999815,5722321.805000005,-0.001791270781845751,0.0017818736990502496,,,,,
2019-11-27 23:29:00,CLOSE,SHORT,26962.0,1,184.80999999998144,5725436.995000006,,,66.0,3300.0,3115.1900000000187,reverse,0.0
2019-11-27 23:29:00,OPEN,LONG,26962.0,1,184.80999999998144,5725252.185000006,0.00048489315083774753,0.002092240750646404,,,,,
2019-11-27 23:30:00,CLOSE,LONG,26964.0,1,184.81999999998146,5725167.365000006,,,2.0,100.0,-84.81999999998146,signal,1.0
2019-11-27 23:32:00,OPEN,SHORT,27032.0,1,185.1599999999815,5724982.205000006,-0.0018172296767589565,0.0017420398880659555,,,,,
2019-11-27 23:35:00,CLOSE,SHORT,26971.0,1,184.8549999999815,5727847.350000005,,,61.0,3050.0,2865.1450000000186,reverse,0.0
2019-11-27 23:35:00,OPEN,LONG,26971.0,1,184.8549999999815,5727662.495000005,0.00030422732174969716,0.001702738147709257,,,,,
2019-11-27 23:36:00,CLOSE,LONG,26970.0,1,184.8499999999815,5727427.645000005,,,-1.0,-50.0,-234.8499999999815,signal,1.0
2019-11-27 23:37:00,OPEN,SHORT,27035.0,1,185.1749999999815,5727242.470000005,-0.00029632940651823733,0.0016765589144888662,,,,,
2019-11-27 23:39:00,CLOSE,SHORT,26970.0,1,184.8499999999815,5730307.620000006,,,65.0,3250.0,3065.1500000000187,signal,0.0
2019-11-27 23:41:00,OPEN,SHORT,27038.0,1,185.18999999998152,5730122.430000005,-0.0005867802059000558,0.0019565945099696,,,,,
2019-11-27 23:43:00,CLOSE,SHORT,26970.0,1,184.8499999999815,5733337.580000006,,,68.0,3400.0,3215.1500000000187,signal,0.0
2019-11-27 23:44:00,OPEN,SHORT,27034.0,1,185.1699999999815,5733152.410000006,-0.0013216738900181785,0.0020286148937113113,,,,,
2019-11-27 23:50:00,CLOSE,SHORT,26960.0,1,184.79999999998145,5736667.610000006,,,74.0,3700.0,3515.2000000000185,signal,0.0
2019-11-27 23:51:00,OPEN,SHORT,27027.0,1,185.13499999998152,5736482.475000006,-0.0013508739006576182,0.001863530573079807,,,,,
2019-11-27 23:52:00,CLOSE,SHORT,27026.0,1,185.12999999998152,5736347.345000006,,,1.0,50.0,-135.12999999998152,signal,1.0
2019-11-27 23:54:00,OPEN,SHORT,27022.0,1,185.1099999999815,5736162.235000006,-0.0011437007589134762,0.0026305639539398423,,,,,
2019-11-27 23:58:00,CLOSE,SHORT,26951.0,1,184.75499999998146,5739527.480000006,,,71.0,3550.0,3365.2450000000185,reverse,0.0
2019-11-27 23:58:00,OPEN,LONG,26951.0,1,184.75499999998146,5739342.725000006,0.0002872337513955622,0.0017340089029382834,,,,,
2019-11-27 23:59:00,CLOSE,LONG,27017.0,1,185.0849999999815,5742457.640000006,,,66.0,3300.0,3114.9150000000186,reverse,0.0
2019-11-27 23:59:00,OPEN,SHORT,27017.0,1,185.0849999999815,5742272.555000006,-0.00037528281424736523,0.0016930033877907214,,,,,
2019-11-28 00:01:00,CLOSE,SHORT,27021.0,1,185.10499999998152,5741887.450000006,,,-4.0,-200.0,-385.1049999999815,signal,1.0
2019-11-28 00:02:00,OPEN,LONG,26952.0,1,184.75999999998146,5741702.690000006,0.0004982508694242981,0.0020566875517999284,,,,,
2019-11-28 00:03:00,CLOSE,LONG,27019.0,1,185.0949999999815,5744867.595000006,,,67.0,3350.0,3164.9050000000184,reverse,0.0
2019-11-28 00:03:00,OPEN,SHORT,27019.0,1,185.0949999999815,5744682.5000000065,-0.0013878869010902953,0.002087402355679439,,,,,
2019-11-28 00:04:00,CLOSE,SHORT,26956.0,1,184.77999999998144,5747647.720000006,,,63.0,3150.0,2965.2200000000184,signal,0.0
2019-11-28 00:05:00,OPEN,SHORT,27025.0,1,185.1249999999815,5747462.595000006,-0.00173543453624382,0.0024841449143811465,,,,,
2019-11-28 00:07:00,CLOSE,SHORT,26955.0,1,184.77499999998147,5750777.820000006,,,70.0,3500.0,3315.2250000000186,signal,0.0
2019-11-28 00:08:00,OPEN,SHORT,27024.0,1,185.1199999999815,5750592.700000006,-0.001528284639063322,0.002493566757697342,,,,,
2019-11-28 00:12:00,CLOSE,SHORT,26956.0,1,184.77999999998144,5753807.9200000055,,,68.0,3400.0,3215.2200000000184,reverse,0.0
2019-11-28 00:12:00,OPEN,LONG,26956.0,1,184.77999999998144,5753623.140000005,0.0004003046626177638,0.0018359057928676436,,,,,
2019-11-28 00:13:00,CLOSE,LONG,26959.0,1,184.79499999998146,5753588.345000005,,,3.0,150.0,-34.79499999998146,signal,1.0
2019-11-28 00:16:00,OPEN,SHORT,27023.0,1,185.11499999998148,5753403.230000005,-0.002195225923365282,0.0018096808559970089,,,,,
2019-11-28 00:17:00,CLOSE,SHORT,26953.0,1,184.76499999998148,5756718.465000005,,,70.0,3500.0,3315.2350000000183,signal,0.0
2019-11-28 00:19:00,OPEN,SHORT,27018.0,1,185.0899999999815,5756533.375000006,-0.0018717744490883853,0.002128487660574295,,,,,
2019-11-28 00:20:00,CLOSE,SHORT,26950.0,1,184.74999999998144,5759748.625000006,,,68.0,3400.0,3215.2500000000186,signal,0.0
2019-11-28 00:21:00,OPEN,SHORT,27016.0,1,185.0799999999815,5759563.5450000055,-0.000473847115788599,0.0025107571972918857,,,,,
2019-11-28 00:25:00,CLOSE,SHORT,27016.0,1,185.0799999999815,5759378.465000005,,,0.0,0.0,-185.0799999999815,signal,1.0
2019-11-28 00:28:00,OPEN,SHORT,27024.0,1,185.1199999999815,5759193.345000005,-0.0019032714430013045,0.00178465649878274,,,,,
2019-11-28 00:29:00,CLOSE,SHORT,26960.0,1,184.79999999998145,5762208.5450000055,,,64.0,3200.0,3015.2000000000185,reverse,0.0
2019-11-28 00:29:00,OPEN,LONG,26960.0,1,184.79999999998145,5762023.745000006,0.0005736610905873212,0.002090358317919774,,,,,
