trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
1140,2019-11-13 17:47:00,26375.0,1,1,22968.4,30.0,0.0,90.0,2019-11-13 17:48:00,26374.0,model_exit,4593710.0
1141,2019-11-13 17:49:00,26372.0,1,1,22968.55,180.0,-260.0,240.0,2019-11-13 17:54:00,26381.0,model_exit,4593890.0
1142,2019-11-13 17:55:00,26381.0,1,1,22969.45,30.0,-810.0,90.0,2019-11-13 18:02:00,26385.0,model_exit,4593920.0
1143,2019-11-13 18:03:00,26387.0,1,1,22969.600000000002,780.0,-10.0,840.0,2019-11-13 18:08:00,26398.0,model_exit,4594700.0
1144,2019-11-13 18:09:00,26400.0,-1,1,22973.5,-220.0,-220.0,0.0,2019-11-13 18:10:00,26403.0,model_exit,4594480.0
1145,2019-11-13 18:11:00,26404.0,1,1,22972.4,-70.0,-70.0,0.0,2019-11-13 18:13:00,26398.0,model_exit,4594410.0
1146,2019-11-13 18:14:00,26397.0,1,1,22972.05,-870.0,-870.0,0.0,2019-11-13 18:17:00,26380.0,model_exit,4593540.0
1147,2019-11-13 18:18:00,26386.0,1,1,22967.7,130.0,0.0,240.0,2019-11-13 18:20:00,26385.0,model_exit,4593670.0
1148,2019-11-13 18:21:00,26387.0,1,1,22968.350000000002,880.0,0.0,940.0,2019-11-13 18:25:00,26408.0,model_exit,4594550.0
1149,2019-11-13 18:26:00,26399.0,-1,1,22972.75,330.0,0.0,390.0,2019-11-13 18:28:00,26397.0,model_exit,4594880.0
1150,2019-11-13 18:29:00,26390.0,1,1,22974.4,-770.0,-1610.0,0.0,2019-11-13 18:41:00,26380.0,model_exit,4594110.0
1151,2019-11-13 18:42:00,26393.0,-1,1,22970.55,-770.0,-770.0,0.0,2019-11-13 18:43:00,26387.0,model_exit,4593340.0
1152,2019-11-13 18:44:00,26385.0,-1,1,22966.7,-20.0,-20.0,40.0,2019-11-13 18:45:00,26389.0,model_exit,4593320.0
