trade_id,entry_time,entry_price,position,contracts,risk_budget,trade_pnl,max_adverse_pnl,max_favorable_pnl,exit_time,exit_price,exit_reason,balance_after_trade
670,2019-12-03 14:41:00,26387.0,-1,5,30160.5,-1100.0,-1100.0,0.0,2019-12-03 14:42:00,26391.0,model_exit,6031000.0
671,2019-12-03 14:43:00,26388.0,1,5,30155.0,-1350.0,-1350.0,0.0,2019-12-03 14:44:00,26389.0,model_exit,6029650.0
672,2019-12-03 14:45:00,26390.0,1,5,30148.25,7400.0,-50.0,7700.0,2019-12-03 15:03:00,26424.0,model_exit,6037050.0
673,2019-12-03 15:04:00,26428.0,1,5,30185.25,400.0,0.0,700.0,2019-12-03 15:05:00,26424.0,model_exit,6037450.0
674,2019-12-03 15:06:00,26423.0,1,5,30187.25,-600.0,-600.0,1450.0,2019-12-03 15:11:00,26418.0,model_exit,6036850.0
675,2019-12-03 15:12:00,26423.0,1,5,30184.25,3650.0,0.0,3950.0,2019-12-03 15:15:00,26427.0,model_exit,6040500.0
676,2019-12-03 15:16:00,26432.0,-1,5,30202.5,-1850.0,-1850.0,0.0,2019-12-03 15:17:00,26428.0,model_exit,6038650.0
677,2019-12-03 15:19:00,26422.0,1,5,30193.25,-100.0,-100.0,200.0,2019-12-03 15:20:00,26424.0,model_exit,6038550.0
678,2019-12-03 15:21:00,26431.0,-1,5,30192.75,-2350.0,-2350.0,0.0,2019-12-03 15:22:00,26431.0,model_exit,6036200.0
679,2019-12-03 15:23:00,26424.0,1,5,30181.0,-350.0,-2050.0,0.0,2019-12-03 15:26:00,26442.0,model_exit,6035850.0
680,2019-12-03 15:28:00,26426.0,1,5,30179.25,-2350.0,-2350.0,0.0,2019-12-03 15:29:00,26433.0,model_exit,6033500.0
681,2019-12-03 15:30:00,26423.0,1,5,30167.5,-6850.0,-7800.0,0.0,2019-12-03 15:43:00,26410.0,model_exit,6026650.0
682,2019-12-03 15:44:00,26407.0,1,5,30133.25,-3100.0,-3100.0,0.0,2019-12-03 15:48:00,26407.0,model_exit,6023550.0
