timestamp,price,action,previous_position,position,trade_size,gross_pnl,cost,net_pnl,equity
2019-12-02 17:29:00,26472.0,2,1,1,0,-200.0,0.0,-200.0,4479580.0
2019-12-02 17:30:00,26476.0,2,1,1,0,200.0,0.0,200.0,4479780.0
2019-12-02 17:31:00,26476.0,2,1,1,0,0.0,0.0,0.0,4479780.0
2019-12-02 17:32:00,26479.0,2,1,1,0,150.0,0.0,150.0,4479930.0
2019-12-02 17:33:00,26480.0,2,1,1,0,50.0,0.0,50.0,4479980.0
2019-12-02 17:34:00,26481.0,2,1,1,0,50.0,0.0,50.0,4480030.0
2019-12-02 17:35:00,26481.0,2,1,1,0,0.0,0.0,0.0,4480030.0
2019-12-02 17:36:00,26476.0,2,1,1,0,-250.0,0.0,-250.0,4479780.0
2019-12-02 17:37:00,26480.0,2,1,1,0,200.0,0.0,200.0,4479980.0
2019-12-02 17:38:00,26476.0,2,1,1,0,-200.0,0.0,-200.0,4479780.0
2019-12-02 17:39:00,26480.0,2,1,1,0,200.0,0.0,200.0,4479980.0
2019-12-02 17:40:00,26477.0,2,1,1,0,-150.0,0.0,-150.0,4479830.0
2019-12-02 17:41:00,26478.0,2,1,1,0,50.0,0.0,50.0,4479880.0
2019-12-02 17:42:00,26472.0,2,1,1,0,-300.0,0.0,-300.0,4479580.0
2019-12-02 17:43:00,26471.0,2,1,1,0,-50.0,0.0,-50.0,4479530.0
2019-12-02 17:44:00,26473.0,2,1,1,0,100.0,0.0,100.0,4479630.0
2019-12-02 17:45:00,26466.0,2,1,1,0,-350.0,0.0,-350.0,4479280.0
2019-12-02 17:46:00,26467.0,0,1,-1,2,-50.0,120.0,-170.0,4479110.0
2019-12-02 17:47:00,26469.0,2,-1,1,2,100.0,120.0,-20.0,4479090.0
2019-12-02 17:48:00,26472.0,2,1,1,0,150.0,0.0,150.0,4479240.0
2019-12-02 17:49:00,26472.0,2,1,1,0,0.0,0.0,0.0,4479240.0
2019-12-02 17:50:00,26470.0,2,1,1,0,-100.0,0.0,-100.0,4479140.0
2019-12-02 17:51:00,26472.0,2,1,1,0,100.0,0.0,100.0,4479240.0
2019-12-02 17:52:00,26472.0,2,1,1,0,0.0,0.0,0.0,4479240.0
2019-12-02 17:53:00,26471.0,2,1,1,0,-50.0,0.0,-50.0,4479190.0
2019-12-02 17:54:00,26472.0,2,1,1,0,50.0,0.0,50.0,4479240.0
2019-12-02 17:55:00,26476.0,2,1,1,0,200.0,0.0,200.0,4479440.0
2019-12-02 17:56:00,26470.0,2,1,1,0,-300.0,0.0,-300.0,4479140.0
2019-12-02 17:57:00,26467.0,0,1,-1,2,150.0,120.0,30.0,4479170.0
2019-12-02 17:58:00,26472.0,2,-1,1,2,250.0,120.0,130.0,4479300.0
2019-12-02 17:59:00,26474.0,2,1,1,0,100.0,0.0,100.0,4479400.0
2019-12-02 18:00:00,26471.0,2,1,1,0,-150.0,0.0,-150.0,4479250.0
2019-12-02 18:01:00,26473.0,2,1,1,0,100.0,0.0,100.0,4479350.0
2019-12-02 18:02:00,26471.0,2,1,1,0,-100.0,0.0,-100.0,4479250.0
2019-12-02 18:03:00,26471.0,2,1,1,0,0.0,0.0,0.0,4479250.0
2019-12-02 18:04:00,26470.0,2,1,1,0,-50.0,0.0,-50.0,4479200.0
2019-12-02 18:05:00,26470.0,2,1,1,0,0.0,0.0,0.0,4479200.0
2019-12-02 18:06:00,26473.0,2,1,1,0,150.0,0.0,150.0,4479350.0
2019-12-02 18:07:00,26469.0,0,1,-1,2,200.0,120.0,80.0,4479430.0
2019-12-02 18:08:00,26468.0,2,-1,1,2,-50.0,120.0,-170.0,4479260.0
2019-12-02 18:09:00,26529.0,2,1,1,0,3050.0,0.0,3050.0,4482310.0
2019-12-02 18:10:00,26470.0,2,1,1,0,-2950.0,0.0,-2950.0,4479360.0
2019-12-02 18:11:00,26474.0,2,1,1,0,200.0,0.0,200.0,4479560.0
2019-12-02 18:12:00,26476.0,2,1,1,0,100.0,0.0,100.0,4479660.0
2019-12-02 18:13:00,26478.0,2,1,1,0,100.0,0.0,100.0,4479760.0
2019-12-02 18:14:00,26478.0,2,1,1,0,0.0,0.0,0.0,4479760.0
2019-12-02 18:15:00,26478.0,2,1,1,0,0.0,0.0,0.0,4479760.0
2019-12-02 18:16:00,26481.0,2,1,1,0,150.0,0.0,150.0,4479910.0
2019-12-02 18:17:00,26479.0,2,1,1,0,-100.0,0.0,-100.0,4479810.0
2019-12-02 18:18:00,26479.0,2,1,1,0,0.0,0.0,0.0,4479810.0
2019-12-02 18:19:00,26479.0,2,1,1,0,0.0,0.0,0.0,4479810.0
2019-12-02 18:20:00,26481.0,0,1,-1,2,-100.0,120.0,-220.0,4479590.0
2019-12-02 18:21:00,26481.0,2,-1,1,2,0.0,120.0,-120.0,4479470.0
2019-12-02 18:22:00,26484.0,2,1,1,0,150.0,0.0,150.0,4479620.0
2019-12-02 18:23:00,26484.0,2,1,1,0,0.0,0.0,0.0,4479620.0
2019-12-02 18:24:00,26480.0,2,1,1,0,-200.0,0.0,-200.0,4479420.0
